Column 1,Column 2,Column 3,Column 4,Column 5
"1,035 €/m","block of flats, 50 m²",1h+kt+parveke,"Espoo
    , Leppävaara 
 
    , Linnatullinkatu 1",Available immediately
995 €/m,"block of flats, 51 m²",2h+kt,"Espoo
    , Leppävaara 
 
    , Linnatullinkatu 1",Available immediately
"1,195 €/m","block of flats, 77.5 m²",3h+k,"Espoo
    , Soukka 
 
    , Soukankaari 5 A",Available from 1/1/22
950 €/m,"block of flats, 44.5 m²",2h+kk,"Espoo
    , Leppävaara 
 
    , Linnatullinkatu 1",Available immediately
"1,195 €/m","block of flats, 65 m²",3h+kt,"Espoo
    , Saunalahti 
 
    , Magneettikatu 8 A",Available from 1/1/22
"1,045 €/m","block of flats, 47.5 m²",2h+kt,"Espoo
    , Niittykumpu 
 
    , Haukilahdenkatu 1 A",Available from 1/1/22
827 €/m,"block of flats, 45.5 m²",2h+kt,"Espoo
    , Suurpelto 
 
    , Henttaan puistokatu 8 A",Available from 1/1/22
720 €/m,"block of flats, 28 m²",1h+avok+kph+lp,"Espoo
    , Pohjois-Tapiola 
 
    , Tietäjäntie 4 B",Available from 12/1/21
"1,099 €/m","block of flats, 56 m²",2h+kt,"Espoo
    , Niittykumpu 
 
    , Merituulentie 38 A",Available from 1/1/22
730 €/m,"block of flats, 30.5 m²",1H+KT+ransk.parveke,"Espoo
    , Kirkkojärvi 
 
    , Reviisorinkatu 8 A",Available immediately
"1,165 €/m","block of flats, 65.5 m²",3h+k,"Espoo
    , Olari 
 
    , Kuvastimentie 1 F",Available from 1/1/22
